ped_pos,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
0,0,-25,-50,-71,-89,-105,-116,-128,-139,-150,-161
20,241,155,93,57,30,6,-16,-36,-53,-68,-81
30,283,236,195,163,137,116,99,85,75,67,61
40,314,326,334,328,308,275,238,199,168,150,140
50,329,346,361,371,373,365,346,316,276,230,187
60,349,365,378,387,396,398,384,357,322,284,246
70,359,382,400,411,417,417,409,396,370,334,299
80,367,399,424,436,439,440,438,426,400,368,332
90,373,408,435,448,451,451,449,436,414,385,349
100,377,414,443,456,460,460,460,450,427,402,366